City,Candidate,Party,Votes,Won
Mashpee,Geoff Diehl,REP,3379,FALSE
Mashpee,Kevin Reed,LIB,98,FALSE
Mattapoisett,Maura Healey,DEM,2114,TRUE
Mattapoisett,Geoff Diehl,REP,1591,FALSE
Mattapoisett,Kevin Reed,LIB,42,FALSE
Maynard,Maura Healey,DEM,3738,TRUE
Maynard,Geoff Diehl,REP,1334,FALSE
Maynard,Kevin Reed,LIB,80,FALSE
Medfield,Maura Healey,DEM,4033,TRUE
Medfield,Geoff Diehl,REP,2148,FALSE
Medfield,Kevin Reed,LIB,90,FALSE
Medford,Maura Healey,DEM,16179,TRUE
Medford,Geoff Diehl,REP,5207,FALSE
Medford,Kevin Reed,LIB,302,FALSE
Medway,Maura Healey,DEM,3662,TRUE
Medway,Geoff Diehl,REP,2348,FALSE
Medway,Kevin Reed,LIB,121,FALSE
Melrose,Maura Healey,DEM,9611,TRUE
Melrose,Geoff Diehl,REP,3526,FALSE
Melrose,Kevin Reed,LIB,180,FALSE
Mendon,Maura Healey,DEM,1368,FALSE
Mendon,Geoff Diehl,REP,1372,TRUE
Mendon,Kevin Reed,LIB,47,FALSE
Merrimac,Maura Healey,DEM,1845,TRUE
Merrimac,Geoff Diehl,REP,1375,FALSE
Merrimac,Kevin Reed,LIB,49,FALSE
Methuen,Maura Healey,DEM,8698,TRUE
Methuen,Geoff Diehl,REP,7291,FALSE
Methuen,Kevin Reed,LIB,220,FALSE
Middleborough,Maura Healey,DEM,4332,FALSE
Middleborough,Geoff Diehl,REP,5276,TRUE
Middleborough,Kevin Reed,LIB,150,FALSE
Middlefield,Maura Healey,DEM,164,TRUE
Middlefield,Geoff Diehl,REP,87,FALSE
Middlefield,Kevin Reed,LIB,2,FALSE
Middleton,Maura Healey,DEM,1985,FALSE
Middleton,Geoff Diehl,REP,2327,TRUE
Middleton,Kevin Reed,LIB,48,FALSE
Milford,Maura Healey,DEM,5588,TRUE
Milford,Geoff Diehl,REP,3896,FALSE
Milford,Kevin Reed,LIB,168,FALSE
Millbury,Maura Healey,DEM,2862,TRUE
Millbury,Geoff Diehl,REP,2641,FALSE
Millbury,Kevin Reed,LIB,103,FALSE
Millis,Maura Healey,DEM,2716,TRUE
Millis,Geoff Diehl,REP,1673,FALSE
Millis,Kevin Reed,LIB,77,FALSE
Millville,Maura Healey,DEM,489,FALSE
Millville,Geoff Diehl,REP,682,TRUE
Millville,Kevin Reed,LIB,30,FALSE
Milton,Maura Healey,DEM,9045,TRUE
Milton,Geoff Diehl,REP,3461,FALSE
